Timestamp,Please insert the ID CODE you were provided with.,Do you consent to participate in this study? By submitting the questionnaire you agree that you understand the content in this information sheet.,"Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Active]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Energetic]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Excitable]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Hyperactive]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Lively]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Restless]",Extraversion - Additional Comments,"Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Assertive]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Determined]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Independent]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Persevering]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Tenacious]",Motivation - Additional Comments,"Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Attentive]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Biddable]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Intelligent]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Obedient]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Reliable]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Trainable]",Training Focus - Additional Comments,"Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Easy going]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Frienly]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Non-aggressive]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Relaxed]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Sociable]",Amicability - Additional Comments,"Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Fearful]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Nervous]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Submissive]","Scale 1-6: 1 being ‘really doesn’t describe my dog’, and 6 being ‘really describes my dog’ [Timid]",Neuroticism - Additional Comments
5/17/2019 14:16:42,04-04-LZ,Yes,3,3,3,3,3,4,,4,3,3,3,3,,4,3,4,2,3,4,,5,5,6,4,4,,1,1,1,2,
5/17/2019 14:17:43,04-01-LD,Yes,5,5,5,5,5,5,,4,4,4,5,5,,3,4,5,4,3,4,,3,5,6,2,5,,2,2,2,1,
5/20/2019 13:31:34,04-02-LE,Yes,4,3,5,3,4,3,,2,2,1,3,2,,5,5,4,6,4,4,,2,6,6,3,5,,4,4,3,4,
5/20/2019 14:54:57,04-06-LF,Yes,5,5,6,6,5,6,,5,4,3,5,5,,5,5,6,6,5,5,,1,5,6,2,3,,1,2,2,1,
5/20/2019 15:19:40,04-03-LD,Yes,4,4,4,3,3,3,,3,3,3,2,2,"More determined to get the food when distracted by food distractions, easier to get his attention from any other distraction in the street",3,3,4,4,3,4,,2,6,6,2,5,Kennel environment and busy environments tend to make him anxious (panting and lip smacking),3,4,4,4,Sensitive to noises and often on high alert  so reacts easily
5/21/2019 13:49:56,04-07-LE,Yes,3,3,3,1,3,2,,2,3,2,3,2,,5,5,5,5,4,4,,4,6,1,4,4,,1,1,2,2,
5/21/2019 13:52:18,04-05-LF,Yes,3,3,3,1,3,2,,3,3,3,3,2,,4,4,5,5,5,5,,4,6,1,4,4,,1,1,2,2,
5/21/2019 13:59:32,05-02-LF,Yes,5,5,5,3,5,3,,4,4,4,4,4,,4,4,4,4,3,4,,2,6,1,3,4,,1,1,2,1,
5/22/2019 13:05:29,05-01-LD,Yes,4,4,4,2,4,3,,3,3,2,3,2,,5,5,6,6,4,4,,2,5,6,3,5,,2,2,2,2,
5/22/2019 13:07:48,05-04-LZ,Yes,5,5,5,3,4,3,,4,5,5,5,5,,5,5,6,6,4,4,,3,4,6,3,4,,2,2,3,1,
7/15/2019 13:27:22,05-01-LD,Yes,3,3,3,3,2,3,,4,4,3,4,3,,4,4,5,4,4,5,,4,5,6,5,5,,1,1,2,2,
7/15/2019 13:27:53,05-05-LE,Yes,4,4,3,2,3,2,,3,5,4,4,2,,5,5,6,5,5,6,,3,6,5,4,5,,2,2,4,3,
7/15/2019 13:29:11,05-04-LZ,Yes,4,4,3,3,3,5,,3,4,4,4,3,,3,3,3,3,2,3,,3,4,6,5,4,,1,1,2,2,
7/15/2019 23:02:27,05-03-LF,Yes,3,3,3,2,2,3,Restless when asked to sit in a busy environment as anxious in busy environment,3,4,3,2,2,,4,3,4,3,3,3,More focused in quiet areas as anxious in busier areas also anxiety increases with equipment which can cause her to loose focus,5,6,6,4,4,,5,6,3,4,
7/30/2019 15:18:36,05-13-LE,Yes,4,4,4,4,4,2,,4,4,3,4,3,,5,4,5,5,4,6,,3,6,6,4,6,,1,1,2,1,
7/30/2019 15:20:39,05-11-LE,Yes,5,5,5,5,5,5,,3,4,2,3,3,,3,3,3,4,3,5,,3,4,6,2,4,,2,2,2,3,
7/30/2019 16:15:52,05-14-LE         ,Yes,3,3,3,2,4,3,,3,3,3,3,4,,5,4,5,4,5,5,,3,4,6,3,5,,1,2,3,2,
8/9/2019 22:12:01,05-22-LE,Yes,3,3,3,2,3,1,"Most excited when free running, This excitement is rarely seen during training sessions",2,3,3,2,2,,4,5,5,5,4,4,She is obiedience and responsive but lacks confidence at times which can affect her trainability ,5,5,3,4,4,Can be full on when playing with other dogs,3,4,2,2,
8/12/2019 13:20:38,04-08-LE              ,Yes,2,2,2,2,2,2,,2,3,2,2,2,,4,2,3,4,2,2,,2,4,6,2,5,,5,4,5,5,
9/16/2019 13:49:33,07-02-LH,Yes,3,3,3,2,2,2,,3,4,3,3,2,,4,4,3,4,3,4,,5,5,5,5,5,,1,1,2,1,
9/19/2019 13:23:48,07-03-LE,Yes,4,4,3,2,4,2,,4,3,3,3,3,,5,4,5,4,4,5,,2,3,4,3,3,,2,3,3,4,
9/19/2019 13:28:36,07-02-LH,Yes,4,5,6,4,4,5,NB: On the first questionnaire this dog was recorded as Goober- Mix up,4,3,4,3,5,,4,5,6,4,4,5,,2,5,6,4,5,,3,3,2,1,
10/10/2019 13:47:35,07-14-LG,Yes,2,2,3,3,3,3,,1,1,2,1,2,,1,3,2,2,2,2,"Anxious, type",2,3,3,1,2,,2,2,3,2,"Anxious, not nervous. High body sensitivity, does affect overall demeanour. "
10/10/2019 13:55:16,07-13-LE              ,Yes,5,6,4,3,6,3,,6,5,4,4,3,,5,6,5,5,6,6,great worker ,4,6,6,3,5,,1,2,3,2,
10/14/2019 13:34:38,07-12-LG             ,Yes,3,2,2,2,2,2,,3,4,3,3,3,,4,5,5,4,4,5,,5,5,6,5,5,,1,1,3,3,
10/29/2019 14:00:15,08-02-LH,Yes,4,4,4,4,4,3,,3,3,2,3,3,,4,3,4,5,4,4,,4,6,6,4,4,,3,2,3,3,
10/29/2019 14:02:48,08-03-LH,Yes,4,4,5,5,5,4,,3,3,3,3,3,,3,4,4,5,4,4,,4,5,6,4,5,,3,4,4,3,
10/29/2019 14:49:38,08-01-LH,Yes,3,3,4,2,2,4,"not people focused, independent.",3,3,5,3,3,"more highly motivated for his own gain, not hugely willing in training",2,3,3,2,2,3,not very challenging but would not describe as willing or that responsive to handler,4,3,4,2,3,not particularly amicable but tolerant but self interested,3,4,3,3,"insecure, excitable with other dogs, anxious around dogs so become a bit reactive to them"
10/30/2019 13:24:25,08-03-LH,Yes,5,4,3,2,5,4,hans finds it difficult to settle especially when dogs are around,2,2,2,4,3,,6,6,4,5,4,5,,2,6,3,1,4,,4,3,3,3,
11/4/2019 18:44:23,08-11-LJ,Yes,3,2,3,1,3,2,she can be lazy. ,3,5,5,2,3,needs a lot of motivation ,4,3,5,3,4,5,,3,4,6,5,4,likes her own company. self interested ,1,1,2,2,
12/11/2019 9:47:49,10-12-LJ,Yes,4,4,3,1,2,2,,4,5,4,5,4,,5,5,6,5,5,5,,4,5,6,4,5,,2,2,3,2,
12/11/2019 14:01:25,10-11-LJ,Yes,5,5,3,3,4,4,,5,5,5,5,5,,5,4,5,5,4,4,,3,4,5,4,5,,1,1,1,1,
12/11/2019 14:04:02,10-13-LK,Yes,6,6,6,5,5,6,,3,4,4,4,4,,3,4,5,4,3,4,,2,6,6,3,4,,2,2,4,3,
1/7/2020 14:52:32,10-31-LK,Yes,3,2,3,2,2,3,,3,4,4,3,3,,3,3,4,5,5,6,,5,5,6,5,4,,2,1,4,4,
1/8/2020 14:18:24,10-03-LJ,Yes,4,4,4,2,3,2,,5,5,5,5,5,"Robust , confident dog",5,5,6,5,5,5,,5,5,6,5,6,,1,1,1,1,
1/16/2020 11:01:37,11-11-IK,Yes,5,5,6,5,5,5,,4,4,2,4,4,,4,4,6,4,4,5,,3,5,5,3,5,,2,2,2,2,
1/21/2020 8:54:40,11-02-IM,Yes,4,4,4,3,4,3,,3,3,3,3,3,,4,3,3,3,3,3,,3,5,6,3,4,,2,2,2,2,
1/21/2020 12:22:47,10-15-LK,Yes,2,1,2,1,2,2,,3,3,4,3,3,,2,4,5,5,5,5,,5,6,6,5,6,,2,2,2,3,
1/21/2020 12:25:11,08-13-LJ,Yes,3,3,3,2,2,2,,3,4,4,3,3,,4,5,6,5,5,6,,5,5,6,5,5,,1,1,1,1,
1/21/2020 13:15:19,10-02-LH,Yes,2,3,4,3,3,4,,5,5,5,3,6,,2,4,5,4,2,2,,2,4,5,2,3,,4,4,3,3,
1/21/2020 13:18:34,10-14-LI,Yes,4,4,4,3,4,2,,2,3,1,3,2,,5,5,5,5,4,5,,3,4,6,4,5,,3,4,5,5,
1/21/2020 16:41:43,08-12-LH,Yes,4,4,6,5,4,2,,3,2,5,3,5,,2,2,4,2,2,1,,2,1,3,1,2,,6,5,3,6,
1/24/2020 15:51:25,08-13-LJ,Yes,2,2,3,2,2,2,"Overall calm, can settle easily",4,4,5,4,4,,3,3,4,3,3,4,"food motivation high, so is trainable",4,4,5,5,5,,2,2,2,2,
1/25/2020 9:02:23,11-26-IL,Yes,4,3,4,2,3,4,,2,3,2,2,2,,5,4,6,4,3,5,,2,6,6,5,6,,3,4,3,3,
1/25/2020 9:05:33,11-27-II,Yes,3,3,3,3,3,3,,4,5,5,4,4,,2,3,5,2,3,3,,4,5,6,5,5,,2,3,2,3,
1/28/2020 13:26:56,11-24-IK,Yes,2,2,2,2,2,2,,3,3,3,3,3,,5,4,6,5,5,5,,4,5,5,5,5,,2,2,2,2,
1/28/2020 13:30:47,11-28-IZ,Yes,5,5,4,3,4,4,,4,4,3,4,4,,4,4,5,4,4,4,,3,3,5,3,4,,4,2,2,2,Fearful of certain dogs leading to reactive behaviour 
1/28/2020 13:31:36,11-25-IJ,Yes,4,4,4,4,4,3,,5,5,5,2,2,,4,3,5,4,4,5,,5,5,6,5,5,,5,5,5,5,
2/26/2020 13:33:16,12-03-LM,Yes,4,4,4,3,3,3,,4,4,3,3,3,,5,4,5,5,5,5,,5,6,6,4,5,,2,1,2,3,
2/28/2020 17:11:34,12-01-LK,Yes,4,4,3,2,4,3,,3,4,3,4,4,,5,5,5,5,4,6,,4,5,6,4,5,,2,2,2,2,
2/28/2020 17:14:28,12-02-LM,Yes,6,6,6,5,6,5,,3,4,2,4,4,,4,5,5,4,3,5,,2,5,5,2,5,,2,2,3,2,